,exchange,shortName,industryID,industryIDv2,industry,industryEn,establishedYear,noEmployees,noShareholders,foreignPercent,website,stockRating,deltaInWeek,deltaInMonth,deltaInYear,outstandingShare,issueShare,companyType,ticker,status,code,message,traceId
779,HNX,Cơ khí và Lương thực Thực phẩm,218.0,3577,Thực phẩm và đồ uống,Food & Beverage,2004,344,0.0,0.028,http://mecofood.com.vn/,3.9,0.0,0.064,0.136,10.8,10.8,CT,MCF,,,,
780,HOSE,Năng lượng và Bất động sản MCG,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2009,43,4853.0,0.002,http://www.mecojsc.vn,3.6,-0.031,-0.254,-0.464,52.1,57.5,CT,MCG,,,,
781,UPCOM,Giống bò sữa Mộc Châu,218.0,3577,Thực phẩm và đồ uống,Food & Beverage,2015,802,2005.0,0.016,https://www.mcmilk.com.vn/,4.0,0.002,0.03,-0.013,110.0,110.0,CT,MCM,,,,
782,HNX,BDC Việt Nam,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2003,30,864.0,0.019,http://www.mcovietnam.com.vn,3.7,-0.154,-0.167,-0.293,4.1,4.1,CT,MCO,,,,
783,HOSE,In và Bao bì Mỹ Châu,184.0,2723,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,1998,315,991.0,0.002,http://www.mychau.com.vn,3.6,0.217,0.351,-0.078,15.1,15.1,CT,MCP,,,,
784,UPCOM,Môi trường Đô thị Đông Anh,199.0,2799,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2017,193,166.0,0.0,http://www.moitruongdonganh.vn,3.7,0.013,0.064,0.302,1.2,1.2,CT,MDA,,,,
785,HNX,Than Mông Dương,160.0,1771,Tài nguyên Cơ bản,Basic Resources,2008,3325,2020.0,0.183,http://mongduongcoal.vn,4.1,-0.045,0.226,0.23,21.4,21.4,CT,MDC,,,,
786,UPCOM,Gỗ MDF VRG - Quảng Trị,155.0,1733,Tài nguyên Cơ bản,Basic Resources,2011,410,215.0,0.0,http://www.mdfquangtri.vn,3.3,0.013,0.073,-0.099,55.1,55.1,CT,MDF,,,,
787,HOSE,Xây dựng Miền Đông,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,1986,76,0.0,0.0,http://miendong.com.vn/,4.0,0.08,0.13,0.099,10.3,10.9,CT,MDG,,,,
788,UPCOM,Lắp máy Sông Đà,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2005,336,0.0,0.004,http://www.someco.com.vn,3.4,0.013,0.04,0.487,8.4,8.4,CT,MEC,,,,
789,HNX,Dược Mediplantex,238.0,4577,Y tế,Health Care,2004,531,0.0,0.0,http://www.mediplantex.com,3.5,0.095,0.04,0.11,12.4,12.4,CT,MED,,,,
790,UPCOM,MEINFA,236.0,4537,Y tế,Health Care,1975,622,0.0,0.063,http://www.meinfavn.com,4.0,0.013,0.064,0.302,4.1,3.9,CT,MEF,,,,
791,HNX,Thép Mê Lin,159.0,1757,Tài nguyên Cơ bản,Basic Resources,2003,70,108.0,0.0,http://melinsteel.vn/,3.2,-0.066,-0.05,-0.243,15.0,15.0,CT,MEL,,,,
792,UPCOM,Cao su y tế MERUFA,235.0,4535,Y tế,Health Care,2003,190,156.0,0.007,http://www.merufa.com.vn,3.5,0.076,0.354,0.163,3.7,3.7,CT,MRF,,,,
793,UPCOM,Cơ điện Công trình,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2006,61,101.0,0.0,http://www.mesc.com.vn,3.7,0.013,0.064,0.302,18.6,18.6,CT,MES,,,,
794,UPCOM,Mobifone Service,269.0,6575,Viễn thông,Telecommunications,2008,2010,1698.0,0.067,http://www.mobifoneservice.com.vn,4.0,0.006,0.053,0.201,7.1,7.1,CT,MFS,,,,
795,HOSE,CTCP MHC,194.0,2779,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,1998,34,9504.0,0.022,https://mhc.vn,3.9,-0.008,-0.026,-0.375,41.4,41.4,CT,MHC,,,,
796,UPCOM,Thủy sản Minh Hải,217.0,3573,Thực phẩm và đồ uống,Food & Beverage,1998,230,256.0,0.006,http://www.jostoco.com,3.7,0.013,-0.008,-0.234,15.0,15.3,CT,JOS,,,,
797,HNX,Minh Hữu Liên,159.0,1757,Tài nguyên Cơ bản,Basic Resources,2007,244,155.0,0.004,http://www.minghuulien.com,3.9,-0.127,-0.208,0.007,5.3,5.4,CT,MHL,,,,
798,UPCOM,Khoáng sản Quảng Nam,166.0,1775,Tài nguyên Cơ bản,Basic Resources,2005,149,0.0,0.006,http://www.minco.com.vn,3.8,0.023,0.073,0.221,5.5,5.5,CT,MIC,,,,
799,UPCOM,Máy và Thiết bị Công nghiệp,189.0,2757,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2010,1066,383.0,0.0,http://www.mie.com.vn,3.3,0.013,0.064,0.817,142.0,142.0,CT,MIE,,,,
800,HNX,Khoáng sản và Cơ khí,166.0,1775,Tài nguyên Cơ bản,Basic Resources,1993,120,0.0,0.004,http://www.mimeco.vn,3.6,0.013,0.064,-0.256,3.4,3.4,CT,MIM,,,,
801,HOSE,Bảo hiểm Quân đội,292.0,8536,Bảo hiểm,Insurance,2012,1957,0.0,0.119,https://www.mic.vn,3.6,-0.046,-0.069,0.028,164.5,164.5,BH,MIG,,,,
802,UPCOM,Khoáng sản và TM Hà Tĩnh,166.0,1775,Tài nguyên Cơ bản,Basic Resources,2015,950,450.0,0.0,http://www.mitraco.com.vn,3.4,0.033,0.105,-0.32,110.1,110.1,CT,MTA,,,,
803,UPCOM,Chăn nuôi Mitraco,217.0,3573,Thực phẩm và đồ uống,Food & Beverage,2009,113,878.0,0.017,http://www.mitraco.com.vn,3.9,-0.001,0.022,-0.303,4.0,4.0,CT,MLS,,,,
804,UPCOM,Dược phẩm Mekophar,238.0,4577,Y tế,Health Care,2002,717,1250.0,0.156,http://www.mekophar.com,3.7,0.05,0.089,-0.232,25.3,25.5,CT,MKP,,,,
805,HNX,Dược Thú Y Cai Lậy,238.0,4577,Y tế,Health Care,2003,107,103.0,0.03,http://www.mekovet.com.vn,4.0,0.013,0.146,0.244,5.0,5.0,CT,MKV,,,,
806,UPCOM,Môi trường Đô thị Tỉnh Lào Cai,199.0,2799,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2010,604,513.0,0.0,https://moitruongdothilaocai.com.vn/,3.7,-0.135,0.044,1.479,4.2,4.2,CT,MLC,,,,
807,UPCOM,Masan MEATLife,218.0,3577,Thực phẩm và đồ uống,Food & Beverage,2011,4469,739.0,0.024,http://www.masanmeatlife.com.vn,3.6,-0.011,0.009,-0.283,327.1,327.1,CT,MML,,,,
808,UPCOM,Thủy sản Minh Phú,217.0,3573,Thực phẩm và đồ uống,Food & Beverage,1992,13492,0.0,0.384,http://www.minhphu.com,3.6,-0.015,0.019,0.207,399.9,399.9,CT,MPC,,,,
809,UPCOM,Tập đoàn MPT,226.0,3763,Hàng cá nhân & Gia dụng,Personal & Household Goods,2008,6,2255.0,0.006,http://mptgroup.com.vn,3.9,0.013,0.064,-0.422,17.1,17.1,CT,MPT,,,,
810,UPCOM,Môi trường đô thị Phú Yên,199.0,2799,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2006,298,226.0,0.0,http://www.mtdtphuyen.vn,3.7,0.013,0.064,0.243,6.1,6.1,CT,MPY,,,,
811,UPCOM,Môi trường và PT đô thị Quảng Bình,199.0,2799,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2009,214,207.0,0.0,http://www.urencoquangbinh.com.vn,3.8,0.013,0.064,0.302,3.7,3.7,CT,MQB,,,,
812,HOSE,MSB Bank,289.0,8355,Ngân hàng,Banks,1991,5190,36939.0,0.3,https://msb.com.vn/,4.0,0.009,-0.018,-0.093,2000.0,2000.0,NH,MSB,,,,
813,UPCOM,Hàng Tiêu Dùng MaSan,218.0,3577,Thực phẩm và đồ uống,Food & Beverage,2000,4418,833.0,0.02,http://www.masanconsumer.com,4.3,-0.003,0.033,-0.054,716.5,727.5,CT,MCH,,,,
814,HOSE,Tập đoàn Masan,218.0,3577,Thực phẩm và đồ uống,Food & Beverage,2004,34560,4726.0,0.306,https://www.masangroup.com,3.2,-0.102,-0.14,-0.074,1423.7,1423.7,CT,MSN,,,,
815,UPCOM,Masan High-Tech Materials,166.0,1775,Tài nguyên Cơ bản,Basic Resources,2010,2059,5435.0,0.101,http://www.masangroup.com/masanresources,3.2,-0.005,-0.041,-0.307,1099.2,1099.2,CT,MSR,,,,
816,HNX,Đầu tư MST,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2009,21,4201.0,0.002,http://www.mmst.vn,3.8,0.013,-0.061,-0.441,68.1,68.1,CT,MST,,,,
817,UPCOM,Dịch Vụ Du Lịch Mỹ Trà,261.0,5757,Du lịch và Giải trí,Travel & Leisure,2008,71,0.0,0.0,http://www.dulichmytra.com.vn,3.7,0.013,0.064,0.013,1.8,5.2,CT,MTC,,,,
818,UPCOM,MTGAS,275.0,7573,"Điện, nước & xăng dầu khí đốt",Utilities,2007,36,1042.0,0.018,http://www.mtgas.com.vn,3.4,0.184,0.475,0.302,6.3,6.3,CT,MTG,,,,
819,UPCOM,Môi trường Đô thị Hà Đông,199.0,2799,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,1986,450,433.0,0.138,http://www.moitruongdothi.com.vn,3.8,0.013,-0.31,0.053,4.8,4.8,CT,MTH,,,,
820,UPCOM,Môi trường Đô thị Từ Liêm,199.0,2799,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2015,50,283.0,0.001,http://www.moitruongdothituliem.com.vn,3.3,0.163,0.214,-0.068,6.0,6.0,CT,MTL,,,,
821,UPCOM,Công trình Đô thị Nghệ An,199.0,2799,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2010,446,465.0,0.0,http://www.moitruongdothinghean.com,3.4,0.48,0.358,0.004,3.7,3.7,CT,NAU,,,,
822,UPCOM,Dược Medipharco,238.0,4577,Y tế,Health Care,2006,206,0.0,0.001,http://www.medipharco.com.vn,3.3,-0.005,0.054,0.208,7.5,7.5,CT,MTP,,,,
823,HOSE,Thế giới di động,253.0,5379,Bán lẻ,Retail,2004,40756,20628.0,0.49,http://www.mwg.vn,3.8,-0.038,-0.059,-0.094,1463.4,1463.9,CT,MWG,,,,
824,UPCOM,Ngân hàng Nam Á,289.0,8355,Ngân hàng,Banks,1992,1000,0.0,0.0,http://www.namabank.com.vn,4.1,0.003,-0.004,-0.084,846.4,846.4,NH,NAB,,,,
825,UPCOM,Dược phẩm 2/9,238.0,4577,Y tế,Health Care,2001,207,387.0,0.0,http://www.nadyphar.com.vn,3.7,0.06,-0.084,0.289,11.1,11.1,CT,NDP,,,,
826,HOSE,Nafoods Group,216.0,3537,Thực phẩm và đồ uống,Food & Beverage,2010,636,4963.0,0.258,http://www.nafoodsgroup.com.vn,3.8,0.008,0.04,-0.252,50.6,50.6,CT,NAF,,,,
827,HNX,Tập đoàn Nagakawa,186.0,2733,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2007,294,1067.0,0.015,https://nagakawa.com.vn,3.3,0.002,0.097,0.869,31.6,31.6,CT,NAG,,,,
828,UPCOM,May Nam Định,226.0,3763,Hàng cá nhân & Gia dụng,Personal & Household Goods,2004,,260.0,0.0,http://www.nagaco.com,3.3,0.143,0.069,0.078,3.0,3.0,CT,NJC,,,,
829,UPCOM,Tư vấn xây dựng Tổng hợp,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2007,412,226.0,0.0,http://www.nagecco.com,3.7,0.013,0.064,0.302,2.8,2.8,CT,NAC,,,,
830,UPCOM,XNK lương thực Hà Nội,248.0,5337,Bán lẻ,Retail,2005,187,260.0,0.0,http://www.vihafood.com,3.6,0.013,0.031,0.456,3.0,3.0,CT,FHN,,,,
831,HNX,Cảng Nghệ Tĩnh,193.0,2777,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2009,420,560.0,0.0,http://nghetinhport.com.vn,3.9,0.057,0.334,0.163,21.5,21.5,CT,NAP,,,,
832,UPCOM,Dược Nghệ An,238.0,4577,Y tế,Health Care,2013,722,156.0,0.0,http://www.dnapharma.com.vn,3.2,0.013,0.064,0.425,6.0,6.0,CT,NTF,,,,
833,HNX,Ngân hàng Bắc Á,289.0,8355,Ngân hàng,Banks,2011,2042,1678.0,0.0,http://www.baca-bank.vn,3.7,0.071,0.114,0.01,935.4,813.4,NH,BAB,,,,
834,UPCOM,DV Hàng không SB Nội Bài,193.0,2777,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2006,746,697.0,0.008,http://nasco.com.vn,3.1,-0.016,-0.045,0.239,8.3,8.3,CT,NAS,,,,
835,HOSE,Tấm lợp và gỗ Nam Việt,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,2001,24,0.0,0.011,http://www.navifico.vn,4.0,0.083,0.145,0.278,8.0,8.0,CT,NAV,,,,
836,UPCOM,Thuốc thú y trung ương Navetco,151.0,1357,Hóa chất,Chemicals,2005,312,507.0,0.001,http://www.navetco.com.vn,3.6,0.228,0.105,0.021,16.0,16.0,CT,VET,,,,
837,UPCOM,Cấp nước Nghệ An,277.0,7577,"Điện, nước & xăng dầu khí đốt",Utilities,2006,481,685.0,0.0,http://www.nawasco.com.vn,3.3,0.013,0.064,0.02,37.4,37.4,CT,NAW,,,,
838,HOSE,577 CORP,336.0,8633,Bất động sản,Real Estate,2005,141,9658.0,0.014,http://nbb.com.vn,3.3,0.013,-0.006,-0.301,100.2,100.5,CT,NBB,,,,
839,HNX,Than Núi Béo,160.0,1771,Tài nguyên Cơ bản,Basic Resources,1996,3053,4862.0,0.04,http://www.nuibeo.com.vn,3.6,-0.07,-0.004,-0.114,37.0,37.0,CT,NBC,,,,
840,UPCOM,Sách và Thiết bị GD Miền Bắc,256.0,5557,Truyền thông,Media,2010,78,322.0,0.015,http://www.stbmienbac.vn,3.9,-0.035,-0.021,0.183,5.0,5.0,CT,NBE,,,,
841,HNX,Nhiệt điện Ninh Bình,274.0,7535,"Điện, nước & xăng dầu khí đốt",Utilities,2009,409,1421.0,0.012,http://www.nbtpc.com.vn,4.0,0.075,0.109,0.025,12.9,12.9,CT,NBP,,,,
842,HNX,Cấp nước Nhà Bè,277.0,7577,"Điện, nước & xăng dầu khí đốt",Utilities,2005,387,325.0,0.043,http://www.capnuocnhabe.vn,3.9,0.052,0.218,0.276,10.9,10.9,CT,NBW,,,,
843,UPCOM,Suất ăn Hàng không Nội Bài,218.0,3577,Thực phẩm và đồ uống,Food & Beverage,2004,570,618.0,0.017,http://www.noibaicatering.com.vn,3.0,0.054,0.049,0.075,17.9,17.9,CT,NCS,,,,
844,HOSE,DV Hàng hóa Nội Bài,193.0,2777,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2005,764,2237.0,0.128,http://www.noibaicargo.com.vn,3.9,0.007,0.085,0.462,26.2,26.2,CT,NCT,,,,
845,UPCOM,Đầu tư và PT điện Miền Bắc 2,274.0,7535,"Điện, nước & xăng dầu khí đốt",Utilities,2004,87,0.0,0.352,http://www.nedi2.com.vn,3.9,0.074,0.066,0.622,50.0,50.0,CT,ND2,,,,
846,UPCOM,Dược phẩm Nam Dược,238.0,4577,Y tế,Health Care,2004,513,0.0,0.001,http://www.namduoc.vn,3.5,0.013,0.064,0.418,6.0,6.0,CT,NDC,,,,
847,UPCOM,Môi trường Nam Định,199.0,2799,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2007,407,283.0,0.0,http://www.moitruongnamdinh.com.vn,3.6,0.013,0.064,0.302,2.2,2.2,CT,MND,,,,
848,UPCOM,Nông sản XK Nam Định,218.0,3577,Thực phẩm và đồ uống,Food & Beverage,2000,40,126.0,0.019,http://www.namdinhfoods.com,4.0,-0.087,-0.294,-0.307,7.9,7.9,CT,NDF,,,,
849,UPCOM,Nhiệt điện Hải Phòng,274.0,7535,"Điện, nước & xăng dầu khí đốt",Utilities,2015,872,1906.0,0.0,http://www.ndhp.com.vn,3.8,0.006,0.071,0.054,500.0,500.0,CT,HND,,,,
850,HNX,PT Nhà Đà Nẵng,336.0,8633,Bất động sản,Real Estate,1992,19,202.0,0.02,http://www.ndn.com.vn,3.9,0.013,0.05,-0.264,71.7,71.7,CT,NDN,,,,
851,UPCOM,Cấp nước Nam Định,277.0,7577,"Điện, nước & xăng dầu khí đốt",Utilities,2007,597,524.0,0.0,http://www.capnuocnamdinh.vn,4.1,0.013,0.064,0.552,34.2,34.3,CT,NDW,,,,
852,HNX,Phát triển Nhà Đà Nẵng,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,2008,87,107.0,0.069,http://www.ndx.com.vn,4.1,-0.016,0.111,0.03,9.6,10.0,CT,NDX,,,,
853,UPCOM,Phát triển Điện Tây Bắc,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2006,49,8666.0,0.001,https://ned.vn,3.6,-0.038,-0.003,-0.185,40.5,40.5,CT,NED,,,,
854,HNX,Bột giặt Net,228.0,3767,Hàng cá nhân & Gia dụng,Personal & Household Goods,1972,543,168.0,0.011,http://www.netcovn.com.vn,3.9,0.011,0.043,0.165,22.4,22.4,CT,NET,,,,
855,HNX,Tập đoàn Danh Khôi,336.0,8633,Bất động sản,Real Estate,2014,791,3744.0,0.051,http://www.netland.com.vn,3.6,-0.035,-0.103,-0.511,92.6,88.2,CT,NRC,,,,
856,HNX,Phân lân Ninh Bình,151.0,1357,Hóa chất,Chemicals,1977,253,265.0,0.0,http://www.niferco.com.vn,4.1,0.013,-0.051,0.284,15.7,15.7,CT,NFC,,,,
857,UPCOM,Thủy sản Ngô Quyền,217.0,3573,Thực phẩm và đồ uống,Food & Beverage,2005,108,0.0,0.127,http://www.ngoprexco.com.vn,3.7,-0.134,-0.083,0.557,2.3,2.3,CT,NGC,,,,
858,HOSE,PT Nhà và Đô thị Nam HN,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2004,29,0.0,0.003,http://www.namhanoi.com.vn,3.1,0.004,-0.07,-0.509,42.2,42.2,CT,NHA,,,,
859,UPCOM,May Nhà Bè,226.0,3763,Hàng cá nhân & Gia dụng,Personal & Household Goods,2005,13417,0.0,0.004,http://www.nhabe.com.vn,3.7,0.013,0.086,0.367,19.1,18.2,CT,MNB,,,,
860,UPCOM,Xây lắp Môi trường,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2014,40,112.0,0.0,http://www.moitruongnhanco.vn,3.5,0.013,0.064,0.302,5.0,5.0,CT,VCE,,,,
861,HNX,Gạch ngói Nhị Hiệp,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,2000,21,0.0,0.158,http://www.gachngoinhihiep.com,3.7,0.013,0.064,0.497,3.0,3.0,CT,NHC,,,,
862,HOSE,Nhựa Hà Nội,150.0,1353,Hóa chất,Chemicals,2008,1513,2799.0,0.005,http://www.hanoiplastics.com.vn,4.0,0.01,-0.018,-0.101,72.9,72.9,CT,NHH,,,,
863,HOSE,Vinhomes,336.0,8633,Bất động sản,Real Estate,2008,7701,43710.0,0.24,https://vinhomes.vn/vi,4.2,-0.02,-0.127,-0.151,4354.4,4354.4,CT,VHM,,,,
864,UPCOM,Sản xuất XNK NHP,184.0,2723,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2013,128,681.0,0.006,http://www.nhpvietnam.com,3.7,0.013,-0.079,-0.458,27.6,27.6,CT,NHP,,,,
865,HOSE,Sản xuất và Thương mại Nam Hoa,225.0,3747,Hàng cá nhân & Gia dụng,Personal & Household Goods,2004,2057,413.0,0.044,http://www.namhoatoys.vn,3.8,0.027,0.099,-0.105,24.0,24.0,CT,NHT,,,,
866,UPCOM,Đầu tư NHV,158.0,1755,Tài nguyên Cơ bản,Basic Resources,2009,13,148.0,0.0,http://www.nhv.com.vn,3.9,-0.178,-0.401,-0.547,5.5,5.5,CT,NHV,,,,
867,HOSE,Thép Nam Kim,159.0,1757,Tài nguyên Cơ bản,Basic Resources,2002,1730,0.0,0.104,http://www.namkimgroup.vn,3.4,0.01,0.013,-0.273,263.3,263.3,CT,NKG,,,,
868,HOSE,BĐS Nam Long,336.0,8633,Bất động sản,Real Estate,2005,1661,30248.0,0.456,http://www.namlongvn.com,3.6,-0.057,-0.073,-0.223,384.1,384.1,CT,NLG,,,,
869,UPCOM,Cấp thoát nước Lạng Sơn,277.0,7577,"Điện, nước & xăng dầu khí đốt",Utilities,2009,490,180.0,0.0,http://www.capthoatnuoclangson.com.vn,3.7,0.013,0.064,0.302,5.0,5.0,CT,NLS,,,,
870,HOSE,Đá Núi Nhỏ,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,2006,58,0.0,0.064,http://www.nuinho.vn,3.5,-0.018,0.043,-0.003,21.9,21.9,CT,NNC,,,,
871,UPCOM,CN - DV - TM Ngọc Nghĩa,150.0,1353,Hóa chất,Chemicals,1993,825,400.0,0.978,http://nnc.vn,3.2,0.119,0.041,0.182,81.6,81.6,CT,NNG,,,,
872,UPCOM,Cấp nước Ninh Thuận,277.0,7577,"Điện, nước & xăng dầu khí đốt",Utilities,1992,271,146.0,0.003,http://www.capnuocninhthuan.com,3.6,0.016,0.049,0.33,9.5,9.5,CT,NNT,,,,
873,UPCOM,Vận tải Biển và Thương mại Phương Đông,191.0,2773,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2007,,0.0,0.0,http://www.ostc.com.vn,3.5,-0.078,-0.167,-0.314,19.5,20.1,CT,NOS,,,,
874,HOSE,Đầu tư Địa ốc No Va (Novaland),336.0,8633,Bất động sản,Real Estate,1992,2248,11113.0,0.058,http://www.novaland.com.vn,3.5,-0.133,-0.215,-0.562,1950.1,1950.1,CT,NVL,,,,
875,HNX,Phân bón và Hóa chất Dầu khí Miền Bắc,151.0,1357,Hóa chất,Chemicals,2008,68,880.0,0.021,http://www.pmb.vn,4.4,0.013,-0.011,-0.214,12.0,12.0,CT,PMB,,,,
876,UPCOM,Cấp nước Quảng Bình,277.0,7577,"Điện, nước & xăng dầu khí đốt",Utilities,1992,224,201.0,0.0,http://capnuocquangbinh.vn,3.6,0.013,0.064,0.302,17.2,17.2,CT,NQB,,,,
877,UPCOM,Nước sạch Quảng Trị,277.0,7577,"Điện, nước & xăng dầu khí đốt",Utilities,2007,252,305.0,0.0,http://www.qtwaco.vn,4.3,0.013,0.064,0.302,18.2,18.2,CT,NQT,,,,
878,UPCOM,Nước sạch số 2 Hà Nội,277.0,7577,"Điện, nước & xăng dầu khí đốt",Utilities,1996,516,468.0,0.0,http://www.hawater.com.vn,3.7,-0.139,-0.019,0.038,56.8,56.8,CT,NS2,,,,
879,HOSE,Tập đoàn Giống cây trồng Việt Nam,217.0,3573,Thực phẩm và đồ uống,Food & Beverage,2004,737,1199.0,0.088,http://www.vinaseed.com.vn,4.1,0.001,0.091,0.251,17.6,17.6,CT,NSC,,,,
880,HOSE,TMại ĐT Dầu khí Nam Sông Hậu,275.0,7573,"Điện, nước & xăng dầu khí đốt",Utilities,2012,280,5222.0,0.0,http://www.nshpetro.vn,3.3,-0.067,0.28,-0.444,126.2,126.2,CT,PSH,,,,
881,HNX,Thuốc lá Ngân Sơn,229.0,3785,Hàng cá nhân & Gia dụng,Personal & Household Goods,2005,310,0.0,0.019,http://www.nganson.vn,3.6,0.013,0.064,-0.068,11.2,11.2,CT,NST,,,,
882,HOSE,Điện lực Nhơn Trạch 2,274.0,7535,"Điện, nước & xăng dầu khí đốt",Utilities,2007,176,4264.0,0.165,https://www.pvpnt2.vn,4.0,0.043,0.079,0.661,287.9,287.9,CT,NT2,,,,
883,UPCOM,Công trình giao thông 584,336.0,8633,Bất động sản,Real Estate,1999,165,0.0,0.002,http://www.congty584.com.vn,3.7,0.013,-0.222,-0.435,39.8,39.8,CT,NTB,,,,
884,UPCOM,KCN Nam Tân Uyên,336.0,8633,Bất động sản,Real Estate,2005,146,202.0,0.035,http://www.namtanuyen.com.vn,4.1,-0.011,0.043,-0.095,24.0,24.0,CT,NTC,,,,
885,UPCOM,Dệt - May Nha Trang,226.0,3763,Hàng cá nhân & Gia dụng,Personal & Household Goods,2006,1692,287.0,0.0,http://www.detnhatrang.com.vn,3.3,0.013,0.14,0.379,23.5,23.5,CT,NTT,,,,
886,HOSE,Đô thị Từ Liêm,336.0,8633,Bất động sản,Real Estate,2004,103,8476.0,0.082,http://www.lideco.vn,3.9,-0.028,-0.042,-0.213,61.0,61.0,CT,NTL,,,,
887,HNX,Nhựa Tiền Phong,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,1993,1358,2452.0,0.178,http://www.nhuatienphong.vn,3.8,0.001,0.002,-0.104,129.6,129.6,CT,NTP,,,,
888,UPCOM,Môi trường Đô thị Nha Trang,199.0,2799,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2010,904,627.0,0.0,http://www.urenconhatrang.com.vn,3.7,0.013,0.032,0.26,6.0,6.0,CT,NUE,,,,
889,UPCOM,Cấp nước Nhơn Trạch,277.0,7577,"Điện, nước & xăng dầu khí đốt",Utilities,2008,87,231.0,0.15,http://www.ntw.com.vn,3.5,0.025,0.126,0.314,10.0,10.0,CT,NTW,,,,
890,HNX,Ngân hàng Quốc Dân,289.0,8355,Ngân hàng,Banks,1995,2000,1440.0,0.089,http://www.ncb-bank.vn,3.0,-0.111,-0.101,-0.174,556.8,560.2,NH,NVB,,,,
891,HOSE,Ninh Vân Bay,336.0,8633,Bất động sản,Real Estate,2006,445,1147.0,0.001,http://www.ninhvanbay.vn,3.4,-0.018,-0.042,-0.179,90.5,90.5,CT,NVT,,,,
892,UPCOM,Vận tải Newway,262.0,5759,Du lịch và Giải trí,Travel & Leisure,2015,338,184.0,0.0,http://www.newwayjsc.com.vn,3.4,0.013,0.064,3.302,8.5,8.5,CT,NWT,,,,
893,UPCOM,SX và Cung ứng VLXD Kon Tum,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,2015,50,152.0,0.001,http://www.kovalixa.net,3.3,0.013,0.037,0.424,6.6,6.6,CT,NXT,,,,
894,HOSE,Ngân hàng Phương Đông,289.0,8355,Ngân hàng,Banks,1996,1879,0.0,0.215,https://www.ocb.com.vn/,3.8,-0.037,-0.083,-0.094,1369.9,1369.9,NH,OCB,,,,
895,HNX,Khách sạn và Dịch vụ OCH,218.0,3577,Thực phẩm và đồ uống,Food & Beverage,2006,1032,927.0,0.0,http://www.och.vn,3.5,-0.04,-0.038,-0.13,200.0,200.0,CT,OCH,,,,
896,HNX,Chứng khoán Everest,300.0,8777,Dịch vụ tài chính,Financial Services,2006,152,201.0,0.0,http://www.eves.com.vn,3.6,-0.049,-0.154,-0.466,103.0,103.0,CK,EVS,,,,
897,HOSE,Tập đoàn Đại Dương,299.0,8775,Dịch vụ tài chính,Financial Services,2007,1662,10113.0,0.002,http://www.oceangroup.vn,3.3,-0.038,0.081,0.175,300.0,300.0,CT,OGC,,,,
898,UPCOM,Cấp nước Trà Nóc - Ô Môn,277.0,7577,"Điện, nước & xăng dầu khí đốt",Utilities,2017,81,213.0,0.101,https://tranoc-omonwaco.com.vn/,4.1,-0.076,0.123,-0.039,8.0,8.0,CT,TOW,,,,
899,HNX,Truyền thông Số 1,311.0,9572,Công nghệ Thông tin,Technology,2001,79,0.0,0.108,http://www.one.com.vn,3.5,0.013,0.031,0.03,7.9,8.0,CT,ONE,,,,
900,UPCOM,Dịch vụ Một Thế giới,260.0,5755,Du lịch và Giải trí,Travel & Leisure,2009,9,102.0,0.147,http://www.oneworld.vn,3.2,0.013,0.064,-0.096,2.0,2.0,CT,ONW,,,,
901,HOSE,Dược phẩm OPC,238.0,4577,Y tế,Health Care,2002,1029,981.0,0.008,http://www.opcpharma.com,3.9,-0.033,-0.01,0.326,64.1,64.1,CT,OPC,,,,
